Receiver_X,Receiver_Y,Distance_to_Base_Station (m),Free_Space_Path_Loss (dB),Building Loss (dB),Tree Loss(dB),Path_Loss_COST_231 (dB),Base_Station_Frequency (GHz)
668,1208,391.77544588705405,-89.67087259357803,0.0,0.0,122.85484747650399,2.0
1198,1804,828.0217388450619,-83.1707820871945,1.0,0.0,135.6779444964426,2.0
1977,1601,1147.0527450819338,-80.33994909318729,0.0,0.1,139.92698251407043,2.0
423,801,610.3523572494826,-85.82000434070977,0.0,0.0,129.8592405568696,2.0
811,82,937.2539677163282,-82.0944711125484,0.0,0.0,136.6356601719964,2.0
367,13,1172.5433893890665,-80.14903841409097,0.0,0.0,140.17423236834267,2.0
1340,1967,1025.0312190367667,-81.31687500970543,1.0,0.0,139.05003958059228,2.0
1488,1503,700.8230875192397,-84.61944885388976,0.0,0.0,132.04294615059212,2.0
282,1429,836.4000239120035,-83.08333613360173,0.0,0.0,134.8370010499341,2.0
79,1462,1030.3809974955866,-81.27166005006008,0.0,0.0,138.13228164385504,2.0
1379,194,890.6609905008752,-82.53736823799552,3.0,0.0,138.83006897617065,2.0
1872,1062,874.2013498044944,-82.69938741036671,0.0,0.0,135.5353702497216,2.0
1822,834,838.5940615100968,-83.06058121225131,3.0,0.0,137.87839026482936,2.0
1438,181,928.765309429675,-82.17349715323762,3.0,0.0,139.4919187048195,2.0
977,1099,101.6366075781753,-101.39061364964081,0.0,0.0,101.53766190527094,2.0
673,1397,514.3325772299476,-87.30673620679826,0.0,0.0,127.1550051192036,2.0
1478,771,530.0235843809216,-87.0457129694775,3.0,0.0,130.62978359440652,2.0
690,958,312.8322234041755,-91.62538723757666,0.0,0.0,119.29975601428629,2.0
171,91,1230.2528195456412,-79.73172948400122,0.0,0.0,140.93328087126622,2.0
896,243,764.1105940896252,-83.86849244392975,0.0,0.0,133.4088702841073,2.0
852,1402,428.37833745417146,-88.89506684488933,0.0,0.0,124.26597038723341,2.0
181,944,820.9122973862677,-83.24568163464643,0.0,0.0,134.54170876012415,2.0
68,1545,1079.6522588315183,-80.86593891045098,0.0,0.0,138.87025296778165,2.0
1444,234,885.3767559632453,-82.58905454201,3.0,0.0,138.7360561026014,2.0
1815,1699,1073.6973502807948,-80.91397923805114,0.0,0.1,138.8828718069303,2.0
1843,1886,1222.9656577353267,-79.78333163033294,0.0,0.0,140.83942107317296,2.0
192,1882,1196.1555082847715,-79.97586397413562,0.0,0.0,140.4892215524094,2.0
512,1433,652.4055487195062,-85.24126394352942,0.0,0.0,130.9119188016573,2.0
1152,1605,623.8020519363495,-85.63068088497599,1.0,0.0,131.20360339044743,2.0
1664,748,710.2112361825881,-84.50386608582659,3.0,0.0,135.25318111259799,2.0
1080,1138,159.51175505272332,-97.47576299579208,0.0,0.0,108.65843338584772,2.0
187,995,813.0153750083697,-83.3296416917464,0.0,0.0,134.38899274795207,2.0
1834,957,835.1077774754585,-83.0967662978641,0.0,0.0,134.8125727539109,2.0
933,375,628.5809414864565,-85.56439268254982,0.0,0.0,130.32417584213744,2.0
928,299,704.6878741684151,-84.57168089500388,0.0,0.0,132.12983189653636,2.0
1291,1646,708.5174662631825,-84.52460564731788,1.0,0.0,133.21545766129805,2.0
519,285,861.7342977971806,-82.82414929285537,0.0,0.0,135.30843928012894,2.0
1585,1866,1045.0746384828215,-81.14867069372009,1.0,0.0,139.3559885431666,2.0
1398,1797,890.8495944883176,-82.53552913196926,1.0,0.0,136.8334141494351,2.0
473,188,968.0253095864798,-81.81388261804823,0.0,0.0,137.14602614150039,2.0
1203,1365,417.65296598970775,-89.11530546637015,0.0,0.0,123.86537556678468,2.0
688,803,368.9891597323694,-90.19134471442374,0.0,0.0,121.90815413817451,2.0
1348,1272,441.6876724564542,-88.62931130026458,0.0,0.0,124.74935651618028,2.0
486,499,717.7722480007151,-84.41188361027986,0.0,0.0,132.42048920337842,2.0
632,179,899.7027286832024,-82.44963611202192,0.0,0.0,135.9896460522333,2.0
1882,719,925.6808305242148,-82.20239146026873,3.0,0.0,139.43936248348422,2.0
1127,1590,603.5138772223884,-85.91787165017739,1.0,0.0,130.6812284670718,2.0
1380,1145,406.7247226319049,-89.3456054316807,0.0,0.0,123.44648004050224,2.0
638,1336,493.90282445031636,-87.65878667002559,0.0,0.0,126.51465606889984,2.0
1108,1578,588.0034013507064,-86.14402009897512,1.0,0.0,130.26988418680088,2.0
